chrom	start	end	w100	w150	w200	w250	w300	min	mean	stddev	max
chr2L	16320998	16323000	0.601878907	0.698257316	0.688395427	0.684518246	0.696409069	0.601878907	0.661889645333333	0.042683692320202	0.698257316
chr2L	16323000	16326000	0.636973741	0.731928501	0.711690943	0.709309489	0.71954208	0.636973741	0.691069749166667	0.0389246904673979	0.731928501
chr2L	16326000	16329000	0.620750145	0.72014803	0.681380168	0.668514984	0.677219496	0.620750145	0.664793828	0.035088294831952	0.72014803
chr2L	16329000	16332000	0.57590383	0.679667314	0.630717866	0.606610696	0.616525207	0.57590383	0.614221457166667	0.0354847472708195	0.679667314
chr2L	16332000	16335000	0.564296585	0.681460354	0.600860847	0.569511491	0.583673904	0.564296585	0.594016627666667	0.04116488013962	0.681460354
chr2L	16335000	16338000	0.538239615	0.656571268	0.566297831	0.532009452	0.545265204	0.532009452	0.561732137	0.0439796180256685	0.656571268
chr2L	16338000	16341000	0.498263684	0.61624708	0.517715865	0.476801977	0.494375379	0.476801977	0.513367660333333	0.048072891046415	0.61624708
chr2L	16341000	16344000	0.517046492	0.624203666	0.523280214	0.479375567	0.501795302	0.479375567	0.520846134666667	0.0491692510626997	0.624203666
chr2L	16344000	16347000	0.636859889	0.703347271	0.597097303	0.551726181	0.573376044	0.551726181	0.602355478166667	0.0538268892848967	0.703347271
chr2L	16347000	16350000	0.776789812	0.813312848	0.69842022	0.6622484	0.679791006	0.6622484	0.715468447666667	0.0585407340490768	0.813312848
chr2L	16350000	16353000	0.972659601	0.96901567	0.840304497	0.821098174	0.833343367	0.821098174	0.876253247166667	0.0672269623438044	0.972659601
chr2L	16353000	16356000	0.928173181	0.918224196	0.789519057	0.765987876	0.779628801	0.765987876	0.824586831166667	0.0702575456439209	0.928173181
chr2L	16356000	16359000	0.945579237	0.912091688	0.785194524	0.765624545	0.77700005	0.765624545	0.825185764833333	0.074233267357314	0.945579237
chr2L	16359000	16362000	0.931880171	0.897043107	0.772829865	0.753937418	0.765439767	0.753937418	0.812511291	0.0730829421117183	0.931880171
chr2L	16362000	16365000	0.89768925	0.861882114	0.743871682	0.727786281	0.736935703	0.727786281	0.782658551833333	0.0696722885045932	0.89768925
chr2L	16365000	16368000	0.868423732	0.832438082	0.715663654	0.698828273	0.712398099	0.698828273	0.754430018833333	0.0689594641404584	0.868423732
chr2L	16368000	16371000	0.844786519	0.805896854	0.687489843	0.677465023	0.698983379	0.677465023	0.732014440166667	0.0673311733391098	0.844786519
chr2L	16371000	16374000	0.783833547	0.741485201	0.623556336	0.611004398	0.636704995	0.611004398	0.667931479166667	0.0686404534614534	0.783833547
chr2L	16374000	16377000	0.783287168	0.732922376	0.610402967	0.606613291	0.635031927	0.606613291	0.662478503333333	0.0698380180486046	0.783287168
chr2L	16377000	16380000	0.772367028	0.715388995	0.589059347	0.58640001	0.620001069	0.58640001	0.6449360765	0.0728001451310241	0.772367028
chr2L	16380000	16383000	0.74623343	0.676327304	0.544481418	0.537312345	0.574164047	0.537312345	0.6026384815	0.0803923684927299	0.74623343
chr2L	16383000	16386000	0.725601031	0.643384053	0.512085247	0.505733745	0.539905351	0.505733745	0.572073862	0.0837567949863709	0.725601031
chr2L	16386000	16389000	0.715816684	0.619742503	0.491144778	0.491629317	0.520279623	0.491144778	0.554959613833333	0.085078311530665	0.715816684
chr2L	16389000	16392000	0.685971739	0.58593645	0.462925423	0.466662176	0.486792754	0.462925423	0.5252023275	0.0838595131278104	0.685971739
chr2L	16392000	16395000	0.669587443	0.583396943	0.463170254	0.479022041	0.484460165	0.463170254	0.523801183333333	0.077147471953724	0.669587443
chr2L	16395000	16398000	0.643213069	0.562086791	0.446099599	0.46263411	0.462055738	0.446099599	0.503698151	0.0740823618619866	0.643213069
chr2L	16398000	16401000	0.528732725	0.450950491	0.346766893	0.350680485	0.34929413	0.346766893	0.395531936166667	0.0703791074900704	0.528732725
chr2L	16401000	16404000	0.462625012	0.387426426	0.289210302	0.284977663	0.285035317	0.284977663	0.332375397166667	0.0690325732040583	0.462625012
chr2L	16404000	16407000	0.342879708	0.277559322	0.192750256	0.182932	0.17972723	0.17972723	0.225929291	0.0626656955807298	0.342879708
chr2L	16407000	16410000	0.323588289	0.263792663	0.184773026	0.176554975	0.170105067	0.170105067	0.214819847833333	0.0585871795764745	0.323588289
chr2L	16410000	16413000	0.308426946	0.249631223	0.186205381	0.188622157	0.171981591	0.171981591	0.212808148166667	0.0502081969886015	0.308426946
chr2L	16413000	16416000	0.282318407	0.230787561	0.170702026	0.175574848	0.156751321	0.156751321	0.195480914	0.0461835414675543	0.282318407
