#Locus	region			larvae_DWT	LD_gypsy1	LD_gypsy2	LD_gypsy3
gypsy1	chr2L:16461008-16461009	1.00000000000	0.87633365955	0.00005496193	0.00665484326
gypsy2	chr2L:16466059-16466060	1.0000000000	0.5492843402	0.0001328556	0.0063658304
gypsy3	chr2L:16478142-16478143	1.0000000000	0.4399127622	0.1243960257	0.0001229348
r0	chr2L:16348000-16348001	1.0000000	0.2390121	0.9242074	0.1371761
r1	chr2L:16354000-16354001	1.0000000	0.2418585	0.8927191	0.2219553
r2	chr2L:16360000-16360001	1.0000000	0.4897874	0.8691489	0.3738263
r3	chr2L:16366000-16366001	1.0000000	0.6043861	0.6521124	0.5116224
r4	chr2L:16372000-16372001	1.0000000	0.8494879	0.5060780	0.7902816
r5	chr2L:16378000-16378001	1.0000000	0.8658209	0.5775219	0.9370369
r6	chr2L:16384000-16384001	1.0000000	0.9012156	0.6571936	0.7829068
r7	chr2L:16390000-16390001	1.0000000	0.9584409	0.7401680	0.7905148
r8	chr2L:16396000-16396001	1.0000000	0.8716159	0.5722843	0.7498093
r9	chr2L:16402000-16402001	1.0000000	0.7052233	0.2442209	0.9632804
r10	chr2L:16408000-16408001	1.0000000	0.7851718	0.2500923	0.8719873
r11	chr2L:16414000-16414001	1.0000000	0.8650762	0.2166641	0.8047943
r12	chr2L:16420000-16420001	1.0000000	0.7243783	0.2393652	0.5808173
